INFO 2024-05-01 22:05:25,594 basehttp 6308 9892 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:05:26,315 views 6308 9892 Index page accessed
INFO 2024-05-01 22:05:26,316 basehttp 6308 9892 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:05:27,050 views 6308 9892 About page accessed
INFO 2024-05-01 22:05:27,050 basehttp 6308 9892 "GET /about/ HTTP/1.1" 200 619
INFO 2024-05-01 22:05:31,907 views 6308 9892 Index page accessed
INFO 2024-05-01 22:05:31,907 basehttp 6308 9892 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:05:32,292 views 6308 9892 Index page accessed
INFO 2024-05-01 22:05:32,293 basehttp 6308 9892 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:05:32,776 views 6308 9892 About page accessed
INFO 2024-05-01 22:05:32,776 basehttp 6308 9892 "GET /about/ HTTP/1.1" 200 619
INFO 2024-05-01 22:05:33,364 views 6308 9892 About page accessed
INFO 2024-05-01 22:05:33,365 basehttp 6308 9892 "GET /about/ HTTP/1.1" 200 619
INFO 2024-05-01 22:05:34,285 views 6308 9892 Index page accessed
INFO 2024-05-01 22:05:34,286 basehttp 6308 9892 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:12:50,818 autoreload 32612 18964 Watching for file changes with StatReloader
INFO 2024-05-01 22:12:51,543 views 32612 3036 Index page accessed
INFO 2024-05-01 22:12:51,546 basehttp 32612 3036 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:12:55,463 basehttp 32612 3036 "GET /admin HTTP/1.1" 301 0
INFO 2024-05-01 22:12:55,488 basehttp 32612 22120 "GET /admin/ HTTP/1.1" 302 0
INFO 2024-05-01 22:12:55,669 basehttp 32612 22120 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4359
INFO 2024-05-01 22:12:55,836 basehttp 32612 22120 "GET /static/admin/css/base.css HTTP/1.1" 200 21544
INFO 2024-05-01 22:12:55,846 basehttp 32612 10568 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
INFO 2024-05-01 22:12:55,869 basehttp 32612 19240 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2024-05-01 22:12:55,869 basehttp 32612 25360 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2024-05-01 22:12:55,869 basehttp 32612 31048 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
INFO 2024-05-01 22:12:55,880 basehttp 32612 10568 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2024-05-01 22:12:55,882 basehttp 32612 22120 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2024-05-01 22:15:59,517 autoreload 25156 12920 Watching for file changes with StatReloader
INFO 2024-05-01 22:16:00,529 views 25156 27848 Index page accessed
INFO 2024-05-01 22:16:00,534 basehttp 25156 27848 "GET / HTTP/1.1" 200 542
INFO 2024-05-01 22:16:05,104 basehttp 25156 27848 "GET /admin/ HTTP/1.1" 302 0
INFO 2024-05-01 22:16:05,120 basehttp 25156 27848 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4359
INFO 2024-05-01 22:16:08,196 basehttp 25156 27848 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2024-05-01 22:16:08,251 basehttp 25156 27848 "GET /admin/ HTTP/1.1" 200 5944
INFO 2024-05-01 22:16:08,324 basehttp 25156 27848 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2024-05-01 22:16:08,342 basehttp 25156 31700 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2024-05-01 22:16:08,342 basehttp 25156 27848 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2024-05-01 22:16:17,220 basehttp 25156 31700 "GET /admin/auth/group/ HTTP/1.1" 200 7783
INFO 2024-05-01 22:16:17,245 basehttp 25156 27848 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2024-05-01 22:16:17,251 basehttp 25156 11596 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2024-05-01 22:16:17,255 basehttp 25156 31700 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6811
INFO 2024-05-01 22:16:17,264 basehttp 25156 27848 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9042
INFO 2024-05-01 22:16:17,269 basehttp 25156 31700 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2024-05-01 22:16:17,276 basehttp 25156 11596 "GET /static/admin/js/actions.js HTTP/1.1" 200 8067
INFO 2024-05-01 22:16:17,292 basehttp 25156 27848 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2024-05-01 22:16:17,292 basehttp 25156 32316 "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2024-05-01 22:16:17,303 basehttp 25156 16900 "GET /admin/jsi18n/ HTTP/1.1" 200 17546
INFO 2024-05-01 22:16:17,315 basehttp 25156 22048 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2024-05-01 22:16:17,330 basehttp 25156 31700 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2024-05-01 22:16:17,355 basehttp 25156 22048 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
